seed,pipeline,epoch,train_loss,val_loss,time_sec
0,P1,1,1.1284,0.6735,415.65
0,P1,2,0.9855,0.6626,407.86
0,P1,3,0.9470,0.6298,415.48
0,P1,4,0.9471,0.6160,410.04
0,P1,5,0.9129,0.6587,405.63
0,P1,6,0.9407,0.6923,409.55
0,P1,7,0.9534,0.6647,437.12
0,P1,8,0.9601,0.6833,447.51
0,P1,9,0.9339,0.6375,450.51
0,P1,10,0.9174,0.6163,431.06
0,P1,11,0.9176,0.6492,411.64
0,P1,12,0.9024,0.6440,411.32
0,P2,1,1.1036,0.7315,221.29
0,P2,2,0.9978,0.7290,221.54
0,P2,3,0.9922,0.7139,224.82
0,P2,4,0.9253,0.7630,227.32
0,P2,5,0.9599,0.6890,238.10
0,P2,6,0.9145,0.6070,237.20
0,P2,7,0.9357,0.7066,234.40
0,P2,8,0.9404,0.5973,231.61
0,P2,9,0.9311,0.6348,230.93
0,P2,10,0.9131,0.6326,237.95
0,P2,11,0.9348,0.6692,238.56
0,P2,12,0.9207,0.6456,234.23
0,P2,13,0.9057,0.6309,230.45
0,P2,14,0.9201,0.6392,239.32
0,P2,15,0.8973,0.6276,238.06
0,P2,16,0.8911,0.6022,237.36
0,P3,1,1.1844,0.6975,228.97
0,P3,2,1.0240,0.8045,230.00
0,P3,3,0.9794,0.7112,230.08
0,P3,4,0.9524,0.7161,225.58
0,P3,5,0.9335,0.6611,228.57
0,P3,6,0.9294,0.6544,232.10
0,P3,7,0.9200,0.6761,272.00
0,P3,8,0.9250,0.6763,230.19
0,P3,9,0.9135,0.6449,231.78
0,P3,10,0.9537,0.6913,231.95
0,P3,11,0.9353,0.6473,228.07
0,P3,12,0.9275,0.6244,231.36
0,P3,13,0.9310,0.5852,232.59
0,P3,14,0.9098,0.5821,233.48
0,P3,15,0.9208,0.6048,221.70
0,P3,16,0.9041,0.6209,222.09
0,P3,17,0.9119,0.6251,222.39
0,P3,18,0.9167,0.6168,227.17
0,P3,19,0.9141,0.6231,227.45
0,P3,20,0.9212,0.6321,224.40
0,P3,21,0.9207,0.6779,222.25
